,Species Classifier,Iters,Learning Rate,Mean Error,Max Error,Min Error,False Negative,False Positive,Positive,Negative
0,Iris-setosa,3000,0.1,6.762995699702499e-05,0.05268943247323532,7.0029105502812e-07,0,0,10,20
0,Iris-setosa,6000,0.1,3.2152353281319515e-05,0.04591846498817366,2.1308304963085573e-07,0,0,10,20
0,Iris-setosa,3000,0.01,0.00346065676459721,0.9989263671906775,3.059044861077387e-05,0,0,10,20
0,Iris-setosa,6000,0.01,0.0038081604948697295,0.9997085864051757,1.0370818869354324e-05,0,0,10,20
0,Iris-versicolor,3000,0.1,0.5430917930583197,0.9998743705272813,0.3729742607878076,3,2,6,19
0,Iris-versicolor,6000,0.1,0.5886860153474172,0.9997917862873444,0.37849481792651174,3,3,6,18
0,Iris-versicolor,3000,0.01,0.4374144921342964,0.45782727317992783,0.3290970259161498,3,2,6,19
0,Iris-versicolor,3000,0.01,0.4374144921342964,0.45782727317992783,0.3290970259161498,3,2,6,19
0,Iris-virginica,3000,0.1,0.00591984967805186,0.7067408503566894,0.00034418639904809645,0,1,11,18
0,Iris-virginica,6000,0.1,0.0029130802615385523,0.5297151478381501,7.068924278375022e-06,0,1,11,18
0,Iris-virginica,3000,0.01,0.06256281166840492,0.470007508408821,5.0437618432930265e-06,0,1,11,18
0,Iris-virginica,6000,0.01,0.03886452723294076,0.48951846853652403,3.323198443361264e-05,0,1,11,18
0,Iris-setosa-1CapOcul-2Neur,6000,0.01,0.32840567401737203,0.9177222968148662,0.326968480583712,10,0,0,20
0,Iris-setosa-1CapOcul-4Neur,6000,0.01,0.2808687383459302,0.9000302188634565,0.23963956666041786,8,0,2,20
0,Iris-setosa-1CapOcul-6Neur,6000,0.01,0.3198720788860424,0.9703187216053076,0.315762444802,10,0,0,20
0,Iris-versicolor-1CapOcul-2Neur,6000,0.01,0.3473636772432038,0.8723730091605539,0.3413559964958817,9,0,0,21
0,Iris-versicolor-1CapOcul-4Neur,6000,0.01,0.35012974891083043,0.7110661482260348,0.3396177465013726,9,0,0,21
0,Iris-versicolor-1CapOcul-6Neur,6000,0.01,0.3559359332730795,0.9939467928452941,0.3444043008074968,9,0,0,21
0,Iris-virginica-1CapOcul-2Neur,6000,0.01,0.6714460402568233,0.672796986555878,0.20905458932815668,11,0,0,19
0,Iris-virginica-1CapOcul-4Neur,6000,0.01,0.6650536344236309,0.6711564924931245,0.08498631010444457,11,0,0,19
0,Iris-virginica-1CapOcul-6Neur,6000,0.01,0.610760872426575,0.6684162767171226,0.0033441114616854506,11,0,0,19
0,Iris-setosa-2CapOcul-2_4Neur,6000,0.01,0.3281079578051884,0.9676997141281769,0.32673370817902214,10,0,0,20
0,Iris-setosa-2CapOcul-4_6Neur,6000,0.01,0.33176841044603395,0.9974323920647792,0.3011513953349869,10,0,0,20
0,Iris-versicolor-2CapOcul-2_4Neur,6000,0.01,0.3462775501331399,0.9869753010424038,0.3433132162170636,9,0,0,21
0,Iris-versicolor-2CapOcul-4_6Neur,6000,0.01,0.34489016118640287,0.897991425479219,0.34451613022007926,9,0,0,21
0,Iris-virginica-2CapOcul-2_4Neur,6000,0.01,0.6702802929778412,0.6719330194270003,0.02777239691764999,11,0,0,19
0,Iris-virginica-2CapOcul-4_6Neur,6000,0.01,0.6694949635379648,0.6702302342288751,0.047624264553973616,11,0,0,19
